ticker,m_ticker,comp_name,fye,per_type,per_end_date,active_ticker_flag,shares_out,avg_d_shares
AXP,AXP,AMER EXPRESS CO,12,Q,2012-09-30,Y,1133.65,1132.0
AXP,AXP,AMER EXPRESS CO,12,Q,2012-06-30,Y,1150.91,1152.0
AXP,AXP,AMER EXPRESS CO,12,Q,2012-03-31,Y,1168.29,1166.0
AXP,AXP,AMER EXPRESS CO,12,Q,2011-12-31,Y,1161.48,1163.0
AXP,AXP,AMER EXPRESS CO,12,Q,2011-09-30,Y,1193.76,1181.0
AXP,AXP,AMER EXPRESS CO,12,Q,2011-06-30,Y,1202.15,1197.0
AXP,AXP,AMER EXPRESS CO,12,Q,2011-03-31,Y,1202.34,1198.0
BA,BA,BOEING CO,12,Q,2017-09-30,Y,595.58,606.3
BA,BA,BOEING CO,12,Q,2017-06-30,Y,591.08,609.6
BA,BA,BOEING CO,12,Q,2017-03-31,Y,603.58,621.2
BA,BA,BOEING CO,12,Q,2016-12-31,Y,617.17,630.3
BA,BA,BOEING CO,12,Q,2016-09-30,Y,617.17,632.7
BA,BA,BOEING CO,12,Q,2016-06-30,Y,637.01,636.3
BA,BA,BOEING CO,12,Q,2016-03-31,Y,637.01,665.8
BA,BA,BOEING CO,12,Q,2015-12-31,Y,669.98,681.2
BA,BA,BOEING CO,12,Q,2015-09-30,Y,669.98,689.0
BA,BA,BOEING CO,12,Q,2015-06-30,Y,679.49,698.9
BA,BA,BOEING CO,12,Q,2015-03-31,Y,691.52,714.2
BA,BA,BOEING CO,12,Q,2014-12-31,Y,712.93,724.8
BA,BA,BOEING CO,12,Q,2014-09-30,Y,712.93,731.9
BA,BA,BOEING CO,12,Q,2014-06-30,Y,729.22,740.1
BA,BA,BOEING CO,12,Q,2014-03-31,Y,737.08,754.1
BA,BA,BOEING CO,12,Q,2013-12-31,Y,743.4,768.4
BA,BA,BOEING CO,12,Q,2013-09-30,Y,754.44,769.1
BA,BA,BOEING CO,12,Q,2013-06-30,Y,758.68,771.8
BA,BA,BOEING CO,12,Q,2013-03-31,Y,757.31,768.7
BA,BA,BOEING CO,12,Q,2012-12-31,Y,754.08,763.8
BA,BA,BOEING CO,12,Q,2012-09-30,Y,751.8,765.2
BA,BA,BOEING CO,12,Q,2012-06-30,Y,749.05,762.0
BA,BA,BOEING CO,12,Q,2012-03-31,Y,747.83,759.6
BA,BA,BOEING CO,12,Q,2011-12-31,Y,743.23,757.1
BA,BA,BOEING CO,12,Q,2011-09-30,Y,741.09,753.9
BA,BA,BOEING CO,12,Q,2011-06-30,Y,738.28,752.5
BA,BA,BOEING CO,12,Q,2011-03-31,Y,737.07,749.0
CAT,CTR,CATERPILLAR INC,12,Q,2017-09-30,Y,590.97,600.1
CAT,CTR,CATERPILLAR INC,12,Q,2017-06-30,Y,589.09,595.4
CAT,CTR,CATERPILLAR INC,12,Q,2017-03-31,Y,589.16,593.2
CAT,CTR,CATERPILLAR INC,12,Q,2016-12-31,Y,585.07,585.8
CAT,CTR,CATERPILLAR INC,12,Q,2016-09-30,Y,584.23,589.6
CAT,CTR,CATERPILLAR INC,12,Q,2016-06-30,Y,583.89,588.6
CAT,CTR,CATERPILLAR INC,12,Q,2016-03-31,Y,583.89,587.7
CAT,CTR,CATERPILLAR INC,12,Q,2015-12-31,Y,582.23,582.3
CAT,CTR,CATERPILLAR INC,12,Q,2015-09-30,Y,582.23,594.8
CAT,CTR,CATERPILLAR INC,12,Q,2015-06-30,Y,603.64,610.7
CAT,CTR,CATERPILLAR INC,12,Q,2015-03-31,Y,603.7,612.7
CAT,CTR,CATERPILLAR INC,12,Q,2014-12-31,Y,605.4,616.0
CAT,CTR,CATERPILLAR INC,12,Q,2014-09-30,Y,627.85,622.8
CAT,CTR,CATERPILLAR INC,12,Q,2014-06-30,Y,624.23,638.3
CAT,CTR,CATERPILLAR INC,12,Q,2014-03-31,Y,637.82,639.3
CAT,CTR,CATERPILLAR INC,12,Q,2013-12-31,Y,636.36,649.6
CAT,CTR,CATERPILLAR INC,12,Q,2013-09-30,Y,647.61,651.9
CAT,CTR,CATERPILLAR INC,12,Q,2013-06-30,Y,657.7,662.7
CAT,CTR,CATERPILLAR INC,12,Q,2013-03-31,Y,655.05,671.6
CAT,CTR,CATERPILLAR INC,12,Q,2012-12-31,Y,653.93,669.3
CAT,CTR,CATERPILLAR INC,12,Q,2012-09-30,Y,653.27,668.7
CAT,CTR,CATERPILLAR INC,12,Q,2012-06-30,Y,652.5,669.6
CAT,CTR,CATERPILLAR INC,12,Q,2012-03-31,Y,647.53,670.2
CAT,CTR,CATERPILLAR INC,12,Q,2011-12-31,Y,646.62,665.9
CAT,CTR,CATERPILLAR INC,12,Q,2011-09-30,Y,646.07,666.0
CAT,CTR,CATERPILLAR INC,12,Q,2011-06-30,Y,644.69,667.2
CAT,CTR,CATERPILLAR INC,12,Q,2011-03-31,Y,638.82,664.9
CSCO,CSCO,CISCO SYSTEMS,7,Q,2017-10-31,Y,4951.78,
CSCO,CSCO,CISCO SYSTEMS,7,Q,2017-07-31,Y,5000.05,5027.0
CSCO,CSCO,CISCO SYSTEMS,7,Q,2017-04-30,Y,5000.05,5045.0
CSCO,CSCO,CISCO SYSTEMS,7,Q,2017-01-31,Y,5007.86,5040.0
CSCO,CSCO,CISCO SYSTEMS,7,Q,2016-10-31,Y,5019.76,5066.0
CSCO,CSCO,CISCO SYSTEMS,7,Q,2016-07-31,Y,5029.71,5067.0
CSCO,CSCO,CISCO SYSTEMS,7,Q,2016-04-30,Y,5032.12,5065.0
CSCO,CSCO,CISCO SYSTEMS,7,Q,2016-01-31,Y,5032.12,5097.0
