action_type,m_ticker,status,per_end_month_nbr,comp_name,ticker,change_txt,ex_date,proc_date
6,MSFT,1,6,MICROSOFT CORP,MSFT,2,2/18/2003,2/18/2003
4,MMM,1,12,MIN MINING&MFG,MMM,3M CO,,4/8/2002
4,SD,1,12,CHEVRON INC,CHV,CHEVRONTEXACO,,10/10/2001
5,SD,1,12,CHEVRONTEXACO,CHV,CVX,,10/10/2001
6,J,1,12,EXXON MOBIL CRP,XOM,2,7/19/2001,7/19/2001
6,JNJ,1,12,JOHNSON & JOHNS,JNJ,2,6/13/2001,6/13/2001
5,CHL,1,12,JP MORGAN CHASE,CMB,JPM,,1/2/2001
4,CHL,1,12,CHASE MANHA-NEW,CMB,JP MORGAN CHASE,,1/2/2001
6,UNIH,1,12,UNITEDHEALTH GP,UNH,2,12/26/2000,12/26/2000
6,ITL,1,12,INTEL CORP,INTC,2,7/31/2000,7/31/2000
5,BEL,1,12,VERIZON COMM,BEL,VZ,,7/3/2000
4,BEL,1,12,BELL ATLANTIC,BEL,VERIZON COMM,,7/3/2000
6,AAPL,1,9,APPLE COMPUTER,AAPL,2,6/21/2000,6/21/2000
6,CHL,1,12,CHASE MANHA-NEW,CMB,1.5,6/12/2000,6/12/2000
6,AXP,1,12,AMER EXPRESS CO,AXP,3,5/11/2000,5/11/2000
6,GE,1,12,GENL ELECTRIC,GE,3,5/8/2000,5/8/2000
4,UNIH,1,12,UTD HEALTHCARE,UNH,UNITEDHEALTH GP,,4/27/2000
6,CSCO,1,7,CISCO SYSTEMS,CSCO,2,3/23/2000,3/23/2000
6,HOMD,1,1,HOME DEPOT,HD,1.5,12/31/1999,12/31/1999
4,J,1,12,EXXON CORP,XON,EXXON MOBIL CRP,,12/1/1999
5,J,1,12,EXXON CORP,XON,XOM,,12/1/1999
6,PFE,1,12,PFIZER INC,PFE,3,7/1/1999,7/1/1999
6,CSCO,1,7,CISCO SYSTEMS,CSCO,2,6/22/1999,6/22/1999
6,IBM,1,12,INTL BUS MACH,IBM,2,5/27/1999,5/27/1999
6,UA,1,12,UTD TECHS CORP,UTX,2,5/18/1999,5/18/1999
1,GS&,1,11,GOLDMAN SACHS,GS,,,5/6/1999
6,WMS,1,1,WAL-MART STORES,WMT,2,4/20/1999,4/20/1999
6,ITL,1,12,INTEL CORP,INTC,2,4/12/1999,4/12/1999
1,GS&,,11,GOLDMAN SACHS,GS,,,4/7/1999
6,MSFT,1,6,MICROSOFT CORP,MSFT,2,3/29/1999,3/29/1999
6,MCD,1,12,MCDONALDS CORP,MCD,2,3/8/1999,3/8/1999
6,MRK,1,12,MERCK & CO INC,MRK,2,2/17/1999,2/17/1999
6,CSCO,1,7,CISCO SYSTEMS,CSCO,1.5,9/16/1998,9/16/1998
6,DIS,1,9,DISNEY WALT,DIS,3,7/10/1998,7/10/1998
6,HOMD,1,1,HOME DEPOT,HD,2,7/6/1998,7/6/1998
6,BEL,1,12,BELL ATLANTIC,BEL,2,6/30/1998,6/30/1998
6,CHL,1,12,CHASE MANHA-NEW,CMB,2,6/15/1998,6/15/1998
6,SPM,1,12,ST PAUL COS INC,SPC,2,5/12/1998,5/12/1998
6,MSFT,1,6,MICROSOFT CORP,MSFT,2,2/23/1998,2/23/1998
6,CSCO,1,7,CISCO SYSTEMS,CSCO,1.5,12/17/1997,12/17/1997
4,IBM,1,12,IBM,IBM,INTL BUS MACH,,10/20/1997
6,PG,1,6,PROCTER & GAMBL,PG,2,9/22/1997,9/22/1997
6,CTR,1,12,CATERPILLAR INC,CAT,2,7/14/1997,7/14/1997
6,ITL,1,12,INTEL CORP,INTC,2,7/14/1997,7/14/1997
6,HOMD,1,1,HOME DEPOT,HD,1.5,7/7/1997,7/7/1997
6,PFE,1,12,PFIZER INC,PFE,2,7/1/1997,7/1/1997
6,DD,1,12,DU PONT (EI) DE,DD,2,6/13/1997,6/13/1997
6,BA,1,12,BOEING CO,BA,2,6/9/1997,6/9/1997
6,IBM,1,12,IBM,IBM,2,5/28/1997,5/28/1997
6,GE,1,12,GENL ELECTRIC,GE,2,5/12/1997,5/12/1997
6,J,1,12,EXXON CORP,XON,2,4/14/1997,4/14/1997
6,UA,1,12,UTD TECHS CORP,UTX,2,12/11/1996,12/11/1996
6,MSFT,1,6,MICROSOFT CORP,MSFT,2,12/9/1996,12/9/1996
6,NIKE,1,5,NIKE INC-B,NKE,2,10/24/1996,10/24/1996
6,JNJ,1,12,JOHNSON & JOHNS,JNJ,2,6/12/1996,6/12/1996
6,KO,1,12,COCA COLA CO,KO,2,5/13/1996,5/13/1996
4,CHL,1,12,CHEMICAL BANKNG,CHL,CHASE MANHA-NEW,,4/1/1996
5,CHL,1,12,CHEMICAL BANKNG,CHL,CMB,,4/1/1996
6,CSCO,1,7,CISCO SYSTEMS,CSCO,2,2/20/1996,2/20/1996
