ticker,m_ticker,comp_name,fye,per_type,per_end_date,active_ticker_flag,mkt_val,ep_val
IBM,IBM,INTL BUS MACH,12,Q,2013-03-31,Y,237724.98,250404.98
IBM,IBM,INTL BUS MACH,12,Q,2012-12-31,Y,216438.48,229397.48
IBM,IBM,INTL BUS MACH,12,Q,2012-09-30,Y,237068.67,249147.67
IBM,IBM,INTL BUS MACH,12,Q,2012-06-30,Y,225598.41,239177.41
IBM,IBM,INTL BUS MACH,12,Q,2012-03-31,Y,241754.84,255179.84
IBM,IBM,INTL BUS MACH,12,Q,2011-12-31,Y,216724.3,227659.3
IBM,IBM,INTL BUS MACH,12,Q,2011-09-30,Y,208843.41,221629.41
IBM,IBM,INTL BUS MACH,12,Q,2011-06-30,Y,207781.38,217932.38
IBM,IBM,INTL BUS MACH,12,Q,2011-03-31,Y,198869.75,207373.75
INTC,ITL,INTEL CORP,12,Q,2017-09-30,Y,178214.41,188208.41
INTC,ITL,INTEL CORP,12,Q,2017-06-30,Y,158544.27,160470.27
INTC,ITL,INTEL CORP,12,Q,2017-03-31,Y,169853.63,173236.63
INTC,ITL,INTEL CORP,12,Q,2016-12-31,Y,171883.53,175433.53
INTC,ITL,INTEL CORP,12,Q,2016-09-30,Y,178595.25,184869.25
INTC,ITL,INTEL CORP,12,Q,2016-06-30,Y,154881.59,161245.59
INTC,ITL,INTEL CORP,12,Q,2016-03-31,Y,152607.92,159291.92
INTC,ITL,INTEL CORP,12,Q,2015-12-31,Y,162569.55,157292.55
INTC,ITL,INTEL CORP,12,Q,2015-09-30,Y,142230.66,141446.66
INTC,ITL,INTEL CORP,12,Q,2015-06-30,Y,144592.92,142838.92
INTC,ITL,INTEL CORP,12,Q,2015-03-31,Y,148344.88,146338.88
INTC,ITL,INTEL CORP,12,Q,2014-12-31,Y,175462.16,173467.16
INTC,ITL,INTEL CORP,12,Q,2014-09-30,Y,172393.81,168902.81
INTC,ITL,INTEL CORP,12,Q,2014-06-30,Y,153820.2,149689.2
INTC,ITL,INTEL CORP,12,Q,2014-03-31,Y,128347.2,122473.2
INTC,ITL,INTEL CORP,12,Q,2013-12-31,Y,129022.3,122100.3
INTC,ITL,INTEL CORP,12,Q,2013-09-30,Y,114192.42,108203.42
INTC,ITL,INTEL CORP,12,Q,2013-06-30,Y,120447.33,116247.33
INTC,ITL,INTEL CORP,12,Q,2013-03-31,Y,107995.91,104065.91
INTC,ITL,INTEL CORP,12,Q,2012-12-31,Y,102337.06,97311.06
INTC,ITL,INTEL CORP,12,Q,2012-09-30,Y,113342.97,109977.97
INTC,ITL,INTEL CORP,12,Q,2012-06-30,Y,134076.14,127521.14
INTC,ITL,INTEL CORP,12,Q,2012-03-31,Y,140462.53,133797.53
INTC,ITL,INTEL CORP,12,Q,2011-12-31,Y,123481.0,115728.0
INTC,ITL,INTEL CORP,12,Q,2011-09-30,Y,112030.09,103908.09
INTC,ITL,INTEL CORP,12,Q,2011-06-30,Y,117492.33,108035.33
INTC,ITL,INTEL CORP,12,Q,2011-03-31,Y,110747.85,100852.85
JNJ,JNJ,JOHNSON & JOHNS,12,Q,2017-09-30,Y,348946.81,
JNJ,JNJ,JOHNSON & JOHNS,12,Q,2017-06-30,Y,356367.16,370877.16
JNJ,JNJ,JOHNSON & JOHNS,12,Q,2017-03-31,Y,337641.63,325313.63
JNJ,JNJ,JOHNSON & JOHNS,12,Q,2016-12-31,Y,313432.5,293967.5
JNJ,JNJ,JOHNSON & JOHNS,12,Q,2016-09-30,Y,323189.16,306302.16
JNJ,JNJ,JOHNSON & JOHNS,12,Q,2016-06-30,Y,333653.13,315604.13
JNJ,JNJ,JOHNSON & JOHNS,12,Q,2016-03-31,Y,298452.84,278830.84
JNJ,JNJ,JOHNSON & JOHNS,12,Q,2015-12-31,Y,284220.5,258701.5
JNJ,JNJ,JOHNSON & JOHNS,12,Q,2015-09-30,Y,258327.45,235094.45
JNJ,JNJ,JOHNSON & JOHNS,12,Q,2015-06-30,Y,270260.97,250391.97
JNJ,JNJ,JOHNSON & JOHNS,12,Q,2015-03-31,Y,279724.34,263343.34
JNJ,JNJ,JOHNSON & JOHNS,12,Q,2014-12-31,Y,292702.94,274735.94
JNJ,JNJ,JOHNSON & JOHNS,12,Q,2014-09-30,Y,300614.41,280761.41
JNJ,JNJ,JOHNSON & JOHNS,12,Q,2014-06-30,Y,295980.47,277659.47
JNJ,JNJ,JOHNSON & JOHNS,12,Q,2014-03-31,Y,277826.31,261777.31
JNJ,JNJ,JOHNSON & JOHNS,12,Q,2013-12-31,Y,258415.52,242537.52
JNJ,JNJ,JOHNSON & JOHNS,12,Q,2013-09-30,Y,244298.86,228818.86
JNJ,JNJ,JOHNSON & JOHNS,12,Q,2013-06-30,Y,241171.06,225685.06
